Cell_Type,TF_motif,Mean_in_class,Mean_other,Cohens_d,RankBiserial_AUC,p_value,n_in_class,FDR,Significant,Assoc_Strength
B cells,PROP1,0.26859044577926283,-0.019489117585331003,0.3021476551583632,0.5811462129672046,1.917407016405581e-14,818,3.9927065303021e-14,False,0.0
B cells,ZIC3,0.20118821732437392,-0.08551829397712525,0.3011333656570187,0.5867748360656241,2.6758839862747804e-16,818,5.87127256424499e-16,False,0.0
B cells,HOXA1,0.2725258262540523,-0.034826697059513134,0.300514213641148,0.5850803007083535,9.97014913131111e-16,818,2.1457033715576993e-15,False,0.0
B cells,MYBL1,0.27217950702751353,-0.03567907630319156,0.29987796680106105,0.5847580431021848,1.2767249420056882e-15,818,2.7374823080842687e-15,False,0.0
B cells,ONECUT3,0.2760532041175575,-0.02049396995164125,0.29950064740793536,0.583874977540086,2.5024204714228704e-15,818,5.32603536421722e-15,False,0.0
B cells,NOTO,0.2779575699430336,-0.023854130686829813,0.2976823215828038,0.5798114961644906,5.0693767036318525e-14,818,1.0427401191100395e-13,False,0.0
B cells,GRHL2,0.26824904852777576,-0.04265197997481239,0.2968441431880981,0.5852901820893454,8.482887291472206e-16,818,1.8304939723358155e-15,False,0.0
B cells,TFAP2B,0.23972659738314797,-0.02958189134874947,0.2948077435552753,0.5846606912563631,1.3755076908353538e-15,818,2.946164169994622e-15,False,0.0
B cells,RAX,0.2757557160986818,-0.020592448997518574,0.2942886768095751,0.5833911312008526,3.607748232087155e-15,818,7.654404481921673e-15,False,0.0
B cells,TBX1,0.37164751303682964,-0.038508774236678575,0.29030950668519967,0.6203043448665375,7.367598947812801e-30,818,2.2146586435995984e-29,False,0.0
B cells,ZNF740,0.2013585148128051,-0.062169506583057255,0.2893795809205456,0.5832963856249191,3.874739467895755e-15,818,8.216559689259027e-15,False,0.0
B cells,SREBF1,0.271176628148538,-0.025825983017504023,0.2890910588963174,0.5784211278341652,1.372757181242141e-13,818,2.7770877776528517e-13,False,0.0
B cells,BARHL1,0.24904815695315305,-0.05412659984604228,0.28747745665385643,0.584785485591007,1.250164792441398e-15,818,2.6819547986309103e-15,False,0.0
B cells,KLF5,0.1511317331581055,-0.014219398144744688,0.28661929300734257,0.5822468254099663,8.500274303891982e-15,818,1.7875316961302996e-14,False,0.0
B cells,PDX1,0.25495883761978255,-0.029288778167286887,0.2834884579102736,0.5765738957234484,5.023725757020103e-13,818,1.003257374773116e-12,False,0.0
B cells,SIX1,0.2412027192505762,-0.04107257659391136,0.28341742851745355,0.5852785305298455,8.559391974352988e-16,818,1.8460181198418014e-15,False,0.0
B cells,HOXB2,0.25754003689442745,-0.03003133466746693,0.28170388732943913,0.5798515100727731,4.924868530936831e-14,818,1.0135309296119236e-13,False,0.0
B cells,HMBOX1,0.2407214909536998,-0.03908951452296023,0.28128144531040467,0.58137418492742,1.62150053970092e-14,818,3.3800057617876984e-14,False,0.0
B cells,GLIS1,0.2309437565739238,-0.047577861594642064,0.27925808766035953,0.5780484312401614,1.7877876612446668e-13,818,3.605970082781743e-13,False,0.0
B cells,KLF4,0.1463519166592245,-0.020012564662557783,0.2780767817330507,0.5796540468012483,5.6795907515474065e-14,818,1.165886564219219e-13,False,0.0
B cells,PAX5,0.28926435364172837,-0.0008410144357113132,0.2777001938714116,0.5814217110253802,1.5657264719010295e-14,818,3.2654839374710197e-14,False,0.0
B cells,HOXB4,0.2703343875307164,-0.03308836794229628,0.2776729693617226,0.5822659891591437,8.379937808479753e-15,818,1.7640597488610345e-14,False,0.0
