TF,CellType,MeanExpression,DetectionRate,Significance
RALGPS2,Monocyte,-0.2565096763184277,0.13073394495412843,52.5043696488916
RALGPS2,NK_cell,-0.33528640484253114,0.05263157894736842,6.818251394382413
RALGPS2,B_cell,2.5013614172964953,0.946236559139785,1709.85947599434
RALGPS2,HSC_-G-CSF,-0.4403154352391744,0.0,0.0
RALGPS2,Pre-B_cell_CD34-,0.797219752074704,0.6666666666666666,0.0
LRMDA,T_cells,-0.7711019056871603,0.03480278422273782,780.9238658733732
LRMDA,Monocyte,1.0221242305405651,0.9311926605504587,3560.431459103984
LRMDA,NK_cell,-0.7395369495476768,0.07017543859649122,34.05092314259792
LRMDA,B_cell,-0.7698542674204094,0.03225806451612903,64.33507060023173
LRMDA,HSC_-G-CSF,1.0666253736782147,1.0,0.0
LRMDA,Pre-B_cell_CD34-,-0.5614803058536881,0.0,0.0
TBXAS1,T_cells,-0.7426847461736852,0.07888631090487239,686.4062536755158
TBXAS1,Monocyte,0.9470674308613584,0.9243119266055045,2046.2435621983448
TBXAS1,NK_cell,-0.5071905189904854,0.24561403508771928,15.737638097819682
TBXAS1,B_cell,-0.670360478534404,0.12903225806451613,48.04794154787658
TBXAS1,HSC_-G-CSF,0.518573423767544,0.5,0.0
TBXAS1,Pre-B_cell_CD34-,-0.8693456720239464,0.0,0.0
LEF1,T_cells,0.8860050869508553,0.7842227378190255,1365.86727899
LEF1,Monocyte,-0.6536105162878174,0.04128440366972477,475.2798727987779
LEF1,NK_cell,-0.6676345821671491,0.03508771929824561,27.581182334327327
LEF1,B_cell,-0.6071614800226007,0.07526881720430108,39.08465960315578
LEF1,HSC_-G-CSF,-0.7099146274056428,0.0,0.0
LEF1,Pre-B_cell_CD34-,-0.3176630979632138,0.3333333333333333,0.0
MROH9,T_cells,-0.06098586986031378,0.0,0.0
MROH9,Monocyte,-0.06098586986031378,0.0,0.0
MROH9,NK_cell,-0.06098586986031378,0.0,0.0
MROH9,B_cell,0.2952755615923579,0.021505376344086023,8.981102267774562
MROH9,HSC_-G-CSF,-0.060985869860313784,0.0,0.0
MROH9,Pre-B_cell_CD34-,9.670762754187093,0.6666666666666666,387.555687972455
AR,T_cells,-0.06453424278648433,0.002320185614849188,0.0
AR,Monocyte,-0.025671017069671318,0.006880733944954129,0.0
AR,NK_cell,-0.08629095296035681,0.0,0.0
AR,B_cell,0.16503615728520774,0.021505376344086023,0.0
AR,HSC_-G-CSF,-0.08629095296035681,0.0,0.0
AR,Pre-B_cell_CD34-,9.58320856016274,0.6666666666666666,377.981297805668
MCTP1,T_cells,-0.7194009964859384,0.060324825986078884,618.3595589419242
MCTP1,Monocyte,0.9508790463908766,0.9036697247706422,2096.672470257085
MCTP1,NK_cell,-0.7395142072789707,0.05263157894736842,34.04875899614684
MCTP1,B_cell,-0.6745792421020493,0.08602150537634409,48.683557728843844
MCTP1,HSC_-G-CSF,0.8183565697535926,1.0,0.0
MCTP1,Pre-B_cell_CD34-,-0.4233228500327304,0.3333333333333333,0.0
LINC00926,T_cells,-0.28199483316558205,0.004640371229698376,62.7939667424464
LINC00926,Monocyte,-0.2378060846483721,0.022935779816513763,44.8026735966919
LINC00926,NK_cell,-0.2877269379444851,0.0,5.012307076483682
LINC00926,B_cell,2.613573076920582,0.8064516129032258,2205.9258602770174
LINC00926,HSC_-G-CSF,-0.2877269379444852,0.0,0.0
LINC00926,Pre-B_cell_CD34-,-0.2877269379444852,0.0,0.0
AC124254.2,T_cells,-0.03129587719622028,0.0,0.0
AC124254.2,Monocyte,-0.03129587719622028,0.0,0.0
AC124254.2,NK_cell,-0.03129587719622028,0.0,0.0
AC124254.2,B_cell,-0.031295877196220276,0.0,0.0
AC124254.2,HSC_-G-CSF,15.960897370072345,0.5,1018.0039138943246
AC124254.2,Pre-B_cell_CD34-,-0.03129587719622028,0.0,0.0
CFH,T_cells,0.030911706844582335,0.013921113689095127,0.0
CFH,Monocyte,-0.04332284622725753,0.009174311926605505,0.0
CFH,NK_cell,0.06951932223226004,0.017543859649122806,0.0
CFH,B_cell,-0.10119060081134344,0.0,0.0
CFH,HSC_-G-CSF,5.658755807859734,0.5,68.33351044144659
CFH,Pre-B_cell_CD34-,-0.1011906008113435,0.0,0.0
TNFAIP2,T_cells,-0.7150204281881051,0.027842227378190254,606.3885607005866
TNFAIP2,Monocyte,0.9548728348959112,0.8853211009174312,2151.5510666068762
TNFAIP2,NK_cell,-0.7156448935305769,0.03508771929824561,31.81878700446539
TNFAIP2,B_cell,-0.7353330625331206,0.03225806451612903,58.371921918472474
TNFAIP2,HSC_-G-CSF,1.0142268792132558,1.0,0.0
TNFAIP2,Pre-B_cell_CD34-,-0.3338238257158744,0.3333333333333333,0.0
JAK2,T_cells,-0.7442666288568938,0.16473317865429235,691.3172954670853
